bin_start_s,rate_Bps
0.0,0.0
1.0,262144.0
2.0,0.0
3.0,524288.0
4.0,0.0
5.0,262144.0
6.0,262144.0
7.0,0.0
8.0,524288.0
9.0,0.0
10.0,262144.0
11.0,262144.0
12.0,0.0
13.0,262144.0
14.0,262144.0
15.0,262144.0
16.0,262144.0
17.0,262144.0
18.0,262144.0
19.0,0.0
20.0,262144.0
21.0,262144.0
22.0,262144.0
23.0,262144.0
24.0,262144.0
25.0,262144.0
26.0,262144.0
27.0,262144.0
28.0,0.0
29.0,524288.0
30.0,0.0
31.0,262144.0
32.0,262144.0
33.0,262144.0
34.0,262144.0
35.0,262144.0
36.0,262144.0
37.0,0.0
38.0,262144.0
39.0,262144.0
40.0,262144.0
41.0,262144.0
42.0,0.0
43.0,524288.0
44.0,0.0
45.0,262144.0
46.0,262144.0
47.0,262144.0
