t q
0.000000 0.575000
0.000000 0.575000
0.000000 0.575000
0.002000 0.576000
0.004000 0.577000
0.006000 0.578000
0.008000 0.579000
0.010000 0.580000
0.012000 0.581000
0.014000 0.582000
0.016000 0.583000
0.018000 0.584000
0.020000 0.585000
0.022000 0.586000
0.024000 0.587000
0.026000 0.588000
0.028000 0.589000
0.030000 0.590000
0.032000 0.591000
0.034000 0.592000
0.036000 0.593000
0.038000 0.594000
0.040000 0.595000
0.042000 0.596000
0.044000 0.597000
0.046000 0.598000
0.048000 0.599000
0.050000 0.600000
0.052000 0.601000
0.054000 0.602000
0.056000 0.603000
0.058000 0.604000
0.060000 0.605000
0.062000 0.606000
0.064000 0.607000
0.066000 0.608000
0.068000 0.609000
0.070000 0.610000
0.072000 0.611000
0.074000 0.612000
0.076000 0.613000
0.078000 0.614000
0.080000 0.615000
0.082000 0.616000
0.084000 0.617000
0.086000 0.618000
0.088000 0.619000
0.090000 0.620000
0.092000 0.621000
0.094000 0.622000
0.096000 0.623000
0.098000 0.624000
0.100000 0.625000
0.102000 0.626000
0.104000 0.627000
0.106000 0.628000
0.108000 0.629000
0.110000 0.630000
0.112000 0.631000
0.114000 0.632000
0.116000 0.633000
0.118000 0.634000
0.120000 0.635000
0.122000 0.636000
0.124000 0.637000
0.126000 0.638000
0.128000 0.639000
0.130000 0.640000
0.132000 0.641000
0.134000 0.642000
0.136000 0.643000
0.138000 0.644000
0.140000 0.645000
0.142000 0.646000
0.144000 0.647000
0.146000 0.648000
0.148000 0.649000
0.150000 0.650000
0.152000 0.651000
0.154000 0.652000
0.156000 0.653000
0.158000 0.654000
0.160000 0.655000
0.162000 0.656000
0.164000 0.657000
0.166000 0.658000
0.168000 0.659000
0.170000 0.660000
0.172000 0.661000
0.174000 0.662000
0.176000 0.663000
0.178000 0.664000
0.180000 0.665000
0.182000 0.666000
0.184000 0.667000
0.186000 0.668000
0.188000 0.669000
0.190000 0.670000
0.192000 0.671000
0.194000 0.672000
0.196000 0.673000
0.198000 0.674000
0.200000 0.675000
0.200000 0.675000
0.202041 0.676000
0.204082 0.677000
0.206122 0.678000
0.208163 0.679000
0.210204 0.680000
0.212245 0.681000
0.214286 0.682000
0.216327 0.683000
0.218367 0.684000
0.220408 0.685000
0.222449 0.686000
0.224490 0.687000
0.226531 0.688000
0.228571 0.689000
0.230612 0.690000
0.232653 0.691000
0.234694 0.692000
0.236735 0.693000
0.238776 0.694000
0.240816 0.695000
0.242857 0.696000
0.244898 0.697000
0.246939 0.698000
0.248980 0.699000
0.251020 0.700000
0.253061 0.701000
0.255102 0.702000
0.257143 0.703000
0.259184 0.704000
0.261224 0.705000
0.263265 0.706000
0.265306 0.707000
0.267347 0.708000
0.269388 0.709000
0.271429 0.710000
0.273469 0.711000
0.275510 0.712000
0.277551 0.713000
0.279592 0.714000
0.281633 0.715000
0.283673 0.716000
0.285714 0.717000
0.287755 0.718000
0.289796 0.719000
0.291837 0.720000
0.293878 0.721000
0.295918 0.722000
0.297959 0.723000
0.300000 0.724000
0.302041 0.725000
0.304082 0.726000
0.306122 0.727000
0.308163 0.728000
0.310204 0.729000
0.312245 0.730000
0.314286 0.731000
0.316327 0.732000
0.318367 0.733000
0.320408 0.734000
0.322449 0.735000
0.324490 0.736000
0.326531 0.737000
0.328571 0.738000
0.330612 0.739000
0.332653 0.740000
0.334694 0.741000
0.336735 0.742000
0.338776 0.743000
0.340816 0.744000
0.342857 0.745000
0.344898 0.746000
0.346939 0.747000
0.348980 0.748000
0.351020 0.749000
0.353061 0.750000
0.355102 0.751000
0.357143 0.752000
0.359184 0.753000
0.361224 0.754000
0.363265 0.755000
0.365306 0.756000
0.367347 0.757000
0.369388 0.758000
0.371429 0.759000
0.373469 0.760000
0.375510 0.761000
