t q
0.000000 10.500000
0.002041 10.500000
0.004082 10.500000
0.006124 10.500000
0.008166 10.500000
0.010209 10.500000
0.012252 10.500000
0.014295 10.500000
0.016339 10.499000
0.018383 10.499000
0.020428 10.499000
0.022473 10.498000
0.024519 10.498000
0.026565 10.497000
0.028611 10.497000
0.030658 10.496000
0.032705 10.495000
0.034752 10.495000
0.036800 10.494000
0.038849 10.493000
0.040898 10.493000
0.042947 10.492000
0.044997 10.491000
0.047047 10.490000
0.049097 10.489000
0.051148 10.488000
0.053200 10.487000
0.055252 10.486000
0.057304 10.485000
0.059356 10.484000
0.061410 10.482000
0.063463 10.481000
0.065517 10.480000
0.067571 10.479000
0.069626 10.477000
0.071681 10.476000
0.073737 10.474000
0.075793 10.473000
0.077849 10.471000
0.079906 10.470000
0.081963 10.468000
0.084021 10.466000
0.086079 10.465000
0.088138 10.463000
0.090197 10.461000
0.092256 10.459000
0.094316 10.458000
0.096376 10.456000
0.098437 10.454000
0.100498 10.452000
0.102560 10.450000
0.104622 10.448000
0.106644 10.445000
0.108747 10.443000
0.110810 10.441000
0.112874 10.439000
0.114938 10.437000
0.117002 10.434000
0.119067 10.432000
0.121127 10.429000
0.123199 10.427000
0.125265 10.425000
0.127331 10.422000
0.129359 10.419000
0.131466 10.417000
0.133534 10.414000
0.135586 10.411000
0.137671 10.409000
0.139740 10.406000
0.141810 10.403000
0.143880 10.400000
0.145950 10.397000
0.147953 10.394000
0.150030 10.391000
0.152079 10.388000
0.154100 10.385000
0.156309 10.382000
0.158382 10.379000
0.160456 10.376000
0.162530 10.373000
0.164604 10.369000
0.166679 10.366000
0.168754 10.363000
0.170830 10.359000
0.172906 10.356000
0.174983 10.352000
0.177060 10.349000
0.179137 10.345000
0.181189 10.341000
0.183293 10.338000
0.185372 10.334000
0.187451 10.330000
0.189530 10.327000
0.191610 10.323000
0.193691 10.319000
0.195772 10.315000
0.197853 10.311000
0.199935 10.307000
0.202017 10.303000
0.204099 10.299000
0.206182 10.295000
0.208247 10.290000
0.210350 10.286000
0.212434 10.282000
0.214519 10.278000
0.216522 10.273000
0.218689 10.269000
0.220775 10.265000
0.222862 10.260000
0.224949 10.256000
0.227036 10.251000
0.229055 10.246000
0.231212 10.242000
0.233301 10.237000
0.235390 10.232000
0.237480 10.228000
0.239570 10.223000
0.241660 10.218000
0.243751 10.213000
0.245842 10.208000
0.247934 10.203000
0.250026 10.198000
0.252119 10.193000
0.254212 10.188000
0.256305 10.183000
0.258360 10.177000
0.260493 10.172000
0.262588 10.167000
0.264683 10.162000
0.266779 10.156000
0.268875 10.151000
0.270887 10.145000
0.273069 10.140000
0.275166 10.134000
0.277264 10.129000
0.279362 10.123000
0.281396 10.117000
0.283560 10.112000
0.285660 10.106000
0.287760 10.100000
0.289860 10.094000
0.291887 10.088000
0.294011 10.082000
0.296121 10.076000
0.298215 10.070000
0.300295 10.064000
0.302361 10.058000
0.304413 10.052000
0.306452 10.046000
0.308477 10.040000
0.310490 10.034000
0.312821 10.027000
0.315101 10.021000
0.317107 10.014000
0.319314 10.008000
0.321336 10.001000
0.323348 9.996000
0.325357 9.992000
0.327360 9.991000
0.329369 9.993000
0.331428 9.998000
0.333497 10.005000
0.335529 10.011000
0.337575 10.017000
0.339636 10.023000
0.341712 10.029000
0.343802 10.035000
0.345909 10.041000
0.348031 10.047000
0.350165 10.052000
0.352324 10.059000
0.354497 10.065000
0.356686 10.071000
0.358893 10.077000
0.361084 10.082000
0.363363 10.089000
0.365627 10.095000
0.367910 10.101000
0.370027 10.106000
0.372149 10.112000
0.374491 10.118000
0.376855 10.124000
0.378978 10.129000
0.381248 10.135000
0.383270 10.140000
0.385310 10.145000
0.387367 10.150000
0.389441 10.155000
0.391534 10.160000
0.393645 10.165000
0.395775 10.170000
0.397900 10.174000
0.400095 10.180000
0.402287 10.185000
0.404499 10.190000
0.406733 10.195000
0.408872 10.199000
0.411271 10.205000
0.413576 10.210000
0.415860 10.214000
0.418261 10.220000
0.420643 10.225000
0.422853 10.229000
0.425001 10.234000
0.427463 10.239000
0.429851 10.243000
0.431851 10.247000
0.433852 10.251000
0.435853 10.255000
0.437854 10.259000
0.439856 10.263000
0.441859 10.267000
0.443861 10.270000
0.445864 10.274000
0.447868 10.278000
0.449872 10.281000
0.451876 10.285000
0.453881 10.288000
0.455886 10.292000
0.457891 10.295000
0.459897 10.299000
0.461904 10.302000
0.463910 10.305000
0.465918 10.309000
0.467925 10.312000
0.469933 10.315000
0.471941 10.318000
0.473950 10.322000
0.475959 10.325000
0.477969 10.328000
0.479979 10.331000
0.481989 10.334000
0.484000 10.337000
0.486011 10.340000
0.488023 10.342000
0.490035 10.345000
0.492047 10.348000
0.494060 10.351000
0.496073 10.354000
0.498086 10.356000
0.500100 10.359000
0.502115 10.361000
0.504130 10.364000
0.506145 10.366000
0.508161 10.369000
0.510177 10.371000
0.512193 10.374000
0.514210 10.376000
0.516227 10.378000
0.518245 10.381000
0.520263 10.383000
0.522281 10.385000
0.524300 10.387000
0.526319 10.389000
0.528339 10.391000
0.530359 10.393000
0.532380 10.395000
0.534401 10.397000
0.536422 10.399000
0.538444 10.401000
0.540466 10.403000
0.542488 10.405000
0.544511 10.407000
0.546535 10.408000
0.548559 10.410000
0.550583 10.412000
0.552607 10.413000
0.554632 10.415000
0.556658 10.416000
0.558684 10.418000
0.560710 10.419000
0.562733 10.421000
0.564764 10.422000
0.566791 10.423000
0.568819 10.424000
0.570847 10.426000
0.572876 10.427000
0.574905 10.428000
0.576935 10.429000
0.578964 10.430000
0.580995 10.431000
0.583026 10.432000
0.585057 10.433000
0.587088 10.434000
0.589120 10.435000
0.591153 10.436000
0.593186 10.436000
0.595219 10.437000
0.597252 10.438000
0.599287 10.439000
0.601321 10.439000
0.603356 10.440000
0.605391 10.440000
0.607427 10.441000
0.609463 10.441000
0.611500 10.442000
0.613537 10.442000
0.615574 10.442000
0.617612 10.443000
0.619650 10.443000
0.621689 10.443000
0.623728 10.443000
0.625767 10.443000
0.627807 10.444000
